Issue id,Issue Type,Status,Priority,Changelog Count,Comments Count,Watch Count,Date Created,Days to date
8f6811259ea81ac96010e4c1a846c0058fad40d23b796ca43ac65618d0b08a3e,New Feature or Improvement,Code review,Minor,44,19,8,2019-09-24 04:06:01.605000000,106
2cbc36c102ab840580206c0e865f1dfe6505c0eb496c2491cee1faca63038bc8,New Feature or Improvement,Development,Critical,38,8,8,2019-04-11 04:17:17.699000000,272
54ca980559431258efb7603271acbdd5769c467351684f8e19c497d09595f663,Epic,To-Do,Minor,38,6,8,2017-11-27 15:35:31.679000000,772
2d43451c0ffebce7bdda8fd25ddf586c8d3d5ebffd658421f4a2abdd2bf634d6,New Feature or Improvement,Code review,Minor,37,21,8,2017-12-08 19:14:42.253000000,761
15389a360dddd398bb5b4cec16902e678db558f04c0f2e6631de0b3674566a5a,New Feature or Improvement,Testing On Hold,Minor,37,17,8,2018-06-19 20:25:18.010000000,568
fdc67c28e5fb84349a641ea1c0424556feaef65872e9ff1d461a6c624ec47f72,Internal Improvement,Code review,Minor,31,12,8,2019-08-13 20:15:36.548000000,148
1f3fb49049a130c6cbd0190459c46ccce05e3fcd1668b7a2a700aa5bf35b21e0,New Feature or Improvement,Development Backlog,Minor,30,12,8,2018-11-05 17:30:01.784000000,429
d730aab3546c38ddf2e0cf3ead8dfb84969c8cef3d089ad85817cdf42511719c,Bug,Development Backlog,Minor,20,12,8,2018-06-28 17:50:31.925000000,559
111bef66266db235c66952dd41ed56c29777c065d41da9892cee91445469a2eb,Bug,Ready for dev,Minor,19,6,8,2019-05-03 09:07:11.585000000,250
ccf6749619c7a37e37f87ad642da9ffb1669b550a08644677886f49fb1c534f5,Bug,Development Backlog,Major,16,13,8,2018-09-19 16:01:40.742000000,476
071761035d5ee92b28c871632bd5721f4584b875733dd23ef26c559460cc0ff2,Internal Improvement,Development On Hold,Major,15,13,8,2019-04-25 10:22:54.643000000,258
a7f5199a37ac9ca9f022081905463180a009cbc50883a3789e51b30e41de86f9,New Feature or Improvement,In Backlog,Major,11,16,8,2019-08-09 14:06:44.281000000,152
fccbd6f3fa664fab19f03cdc7a573afe53b0cb0a96dd98ba0d041982b9fb6d9b,New Feature or Improvement,In Backlog,Minor,121,17,7,2016-01-26 05:53:17.620000000,1443
018ebe18b76d1a1b83e93cd62894b22e1ac99ee55b6ad70f4311d5a5a0de0472,Bug,Development Backlog,Major,113,52,7,2017-04-17 21:29:33.706000000,996
df01c5061381adf98c09c275d13e94d61b6763989cf1d81fe610994650a5f65e,Bug,Testing On Hold,Major,99,22,7,2018-10-04 10:59:35.874000000,461
93973ce573ab6cb4d3dbf0d534ddda8e64b739ae95181564353fafd8564e462a,Internal Improvement,Code review,Major,49,6,7,2019-10-24 12:33:29.428000000,76
11e885cdd13b2bc03549f52f583a6584a1fefa177e8d27f34336290c6b9554e2,Internal Improvement,Testing,Major,38,8,7,2019-10-23 08:51:52.581000000,77
7da73d3d24c61af9c73747d33962e2f17410c067075344f90b0fd3218856eebd,New Feature or Improvement,Testing,Major,36,3,7,2019-10-03 04:43:40.067000000,97
fa3c9f7102ded697bf9f37ad9d13b4e6c437b541a74f044cf603cfb2a1bb2029,New Feature or Improvement,Development Backlog,Minor,33,16,7,2017-03-03 14:38:41.845000000,1041
aad4673b7f36690aa5d4eb9c10e21518bde0d378ade999b8669fd1f4e44154d9,New Feature or Improvement,Development Backlog,Minor,31,16,7,2019-03-14 08:35:51.598000000,300
3323f40d8ca773b5d81b0fce9951fda2e4f2d6ad981a729a7c8b4987f0df94e6,Bug,Development Backlog,Minor,29,7,7,2018-01-10 09:48:38.482000000,728
0c4e5c06d8a8070c599cfb4c1f8801f852bc09c5ea63f86611d075524160f6f1,Bug,Development Backlog,Minor,22,10,7,2018-07-31 19:22:16.902000000,526
ea28ab235421b96f82d53d5aef74ac268e96da5fc5cd6ce86806a664aa91ee6a,Epic,Cancelled,Minor,19,2,7,2017-07-19 22:27:20.435000000,903
d3ef86db4acf7c9478b931a7d8d4a8ea18571129e47e9dbffface52ff9f3f8ef,New Feature or Improvement,In Backlog,Major,16,14,7,2019-09-18 13:47:15.652000000,112
268a45575aa9dafc342ca8f77ce27de5dcf9dc86bf283dc9d52482a1b14a2476,New Feature or Improvement,In Backlog,Minor,15,6,7,2018-10-11 08:34:57.545000000,454
9a98f72c0fa8725e5791bd70561b72d64ac6cf8304e35c9e96041163339ba3ef,New Feature or Improvement,Code review,Major,14,3,7,2019-12-18 14:17:14.895000000,21
bb019ab50815bb73377d229be6af7923270ab3a08d5390ecd49bc973816615e9,New Feature or Improvement,In Backlog,Minor,13,8,7,2019-09-04 05:56:03.996000000,126
fc5bb4d26948652110f9093fbc08a7230b73d62f95b6d75b464766fb4642126a,New Feature or Improvement,In Backlog,Major,12,18,7,2018-11-29 10:24:07.011000000,405
a739fa8aed90ef72532ca850509a2fca19b0833c2291cd65847d41c2ad13e947,Bug,Development Backlog,Minor,11,9,7,2017-11-24 05:50:11.226000000,775
944adb6a88e3517ade969108f3976266fa9866f2aeb15e29e1f4768ef53fa2fb,New Feature or Improvement,Development Backlog,Major,10,26,7,2018-08-21 16:21:17.488000000,505
